meterId,serialNo,make,phaseType,installStatus,dtCode,latitude,longitude,first_kwh,last_kwh,first_kvah,last_kvah,avg_voltage,energy_records,kwh_consumption,kvah_consumption
J100000,SE33962,HPL,single,Decommissioned,DT-001,26.938961002479868,75.83095696146852,48438.74,48580.79,52313.84,52467.25,229.83382789317508,337,142.0500000000029,153.4100000000035
J100001,GE84132,L&T,single,Installed,DT-002,26.822136543835608,75.90718190602279,42594.05,42732.85,46001.58,46151.48,230.29970326409494,337,138.79999999999563,149.90000000000146
J100002,AL28136,L&T,single,Installed,DT-003,26.840224163401967,75.71461868999545,6850.32,7002.59,7398.35,7562.8,230.56379821958458,337,152.27000000000044,164.44999999999982
J100003,L&84997,Genus,single,Installed,DT-004,26.87161594667016,75.76268730618544,6315.48,6441.01,6820.72,6956.29,229.49554896142433,337,125.53000000000065,135.5699999999997
J100004,SE65293,Genus,single,Faulty,DT-005,26.90742516450593,75.72503661059095,20403.4,20474.44,22035.67,22112.39,229.52522255192878,337,71.03999999999724,76.72000000000116
J100005,HP63682,Allied,three,Faulty,DT-006,26.84670538836401,75.86828425070057,3662.84,3773.58,3955.87,4075.46,229.75370919881306,337,110.73999999999978,119.59000000000015
J100006,SE35634,HPL,single,Decommissioned,DT-007,26.812653854983022,75.80722787903873,39069.9,39145.05,42195.5,42276.65,229.98813056379822,337,75.15000000000146,81.15000000000146
J100007,SE11409,Genus,single,Decommissioned,DT-008,26.832983556522617,75.803795527816,30841.97,30957.0,33309.32,33433.56,230.23145400593472,337,115.02999999999884,124.23999999999796
J100008,SE63900,Genus,single,Installed,DT-009,26.899010438325444,75.8400677302598,27623.95,27666.85,29833.87,29880.2,229.86943620178042,337,42.89999999999782,46.330000000001746
J100009,SE79541,Genus,single,Decommissioned,DT-010,26.84328666250697,75.8586705639937,38630.74,38804.45,41721.2,41908.8,229.9673590504451,337,173.70999999999913,187.60000000000582
J100010,GE98722,Secure,single,Faulty,DT-011,26.93762868628148,75.71533679098142,18964.26,19134.47,20481.4,20665.22,229.93175074183975,337,170.21000000000276,183.8199999999997
