meterId,serialNo,make,phaseType,installStatus,dtCode,latitude,longitude
J100000,SE33962,HPL,single,Decommissioned,DT-001,26.938961002479868,75.83095696146852
J100001,GE84132,L&T,single,Installed,DT-002,26.822136543835608,75.90718190602279
J100002,AL28136,L&T,single,Installed,DT-003,26.840224163401967,75.71461868999545
J100003,L&84997,Genus,single,Installed,DT-004,26.871615946670158,75.76268730618544
J100004,SE65293,Genus,single,Faulty,DT-005,26.907425164505934,75.72503661059095
J100005,HP63682,Allied,three,Faulty,DT-006,26.84670538836401,75.86828425070057
J100006,SE35634,HPL,single,Decommissioned,DT-007,26.812653854983022,75.80722787903873
J100007,SE11409,Genus,single,Decommissioned,DT-008,26.832983556522617,75.803795527816
J100008,SE63900,Genus,single,Installed,DT-009,26.899010438325444,75.8400677302598
J100009,SE79541,Genus,single,Decommissioned,DT-010,26.843286662506966,75.8586705639937
J100010,GE98722,Secure,single,Faulty,DT-011,26.93762868628148,75.71533679098142
J100011,SE48422,HPL,three,Decommissioned,DT-012,26.985815217862932,75.8113866226377
J100012,HP85710,Allied,single,Installed,DT-013,26.927220696029348,75.80744330035309
J100013,GE28127,Allied,three,Installed,DT-014,27.03114021816766,75.84009092746787
J100014,GE52551,Genus,three,Faulty,DT-015,27.035683189779615,75.83062514945418
J100015,L&34861,HPL,three,Installed,DT-016,26.808278881157843,75.77806976755168
J100016,GE61949,Genus,three,Installed,DT-017,26.89433879745668,75.71661557726115
J100017,GE52969,L&T,three,Installed,DT-018,26.942805953584706,75.74343775681704
J100018,GE50943,HPL,single,Faulty,DT-019,27.023530279896317,75.74833874320397
J100019,GE24621,L&T,single,Decommissioned,DT-020,27.010893030935062,75.83053253722396
J100020,AL20290,Allied,three,Installed,DT-021,26.85013563328432,75.77765593203735
J100021,SE66811,Allied,single,Installed,DT-022,26.855977319791076,75.7531070204896
J100022,HP89856,L&T,single,Faulty,DT-023,26.85494188978812,75.69114333772818
J100023,L&31862,Genus,single,Installed,DT-024,26.980352783429066,75.88968155943807
J100024,AL25079,HPL,single,Installed,DT-025,26.978791971602572,75.89617436382473
J100025,AL41376,Genus,three,Decommissioned,DT-026,26.835722086455302,75.79121357252374
J100026,L&27266,Allied,single,Faulty,DT-027,26.788124222569262,75.88858490655916
J100027,GE28315,Allied,single,Installed,DT-028,26.82000356571991,75.68887611569157
J100028,AL32322,Secure,single,Installed,DT-029,27.031596323852522,75.7191354043644
J100029,HP81571,Genus,three,Faulty,DT-030,26.875650866567252,75.68719877992775
J100030,GE11313,Allied,single,Installed,DT-031,26.859978929248268,75.87472422593059
J100031,AL32944,Genus,single,Faulty,DT-032,26.90050683412012,75.76792595003285
J100032,SE84140,Allied,three,Installed,DT-033,26.9271694820771,75.75485933266832
J100033,L&54551,HPL,single,Installed,DT-034,26.99666196750952,75.77171798251588
J100034,HP16518,L&T,three,Installed,DT-035,26.894290605238734,75.68666997380573
J100035,AL90270,HPL,three,Installed,DT-036,26.80618248731373,75.90365962751461
J100036,GE36524,Allied,three,Installed,DT-037,27.03358569482118,75.71084991822504
J100037,SE46344,L&T,single,Faulty,DT-038,26.79063881575605,75.70592233291613
J100038,HP58535,Allied,three,Faulty,DT-039,26.98274578418825,75.87184980491661
J100039,AL96955,Genus,single,Faulty,DT-040,26.98353473262871,75.77186959112082
J100040,AL53485,Secure,single,Installed,DT-001,26.84893778260341,75.71342736840965
J100041,AL61994,Secure,single,Installed,DT-002,27.02482647713516,75.8137638774679
J100042,SE45169,Secure,single,Faulty,DT-003,27.000144905671572,75.74596449933965
J100043,AL79965,Genus,three,Installed,DT-004,26.8436457650085,75.70541359592248
J100044,HP44211,Secure,single,Installed,DT-005,26.85587993237898,75.8167241689262
J100045,GE77151,Allied,three,Faulty,DT-006,27.017410082479568,75.77169267015783
J100046,AL11788,Secure,single,Decommissioned,DT-007,26.973315567097256,75.87694795933571
J100047,SE12845,Secure,three,Decommissioned,DT-008,26.88659656813145,75.86239808137547
J100048,AL78296,Allied,three,Faulty,DT-009,26.798749930486178,75.85150988182072
J100049,L&34156,HPL,single,Installed,DT-010,26.88529550304413,75.78219245482255
J100050,HP51466,Secure,single,Decommissioned,DT-011,26.91184227060769,75.76559774679849
J100051,L&36623,Secure,single,Installed,DT-012,26.862116236034876,75.83200127582317
J100052,AL37982,HPL,single,Faulty,DT-013,26.85058011978874,75.86381490863646
J100053,GE44903,Secure,single,Decommissioned,DT-014,26.839580509257598,75.68506833623182
J100054,AL82724,HPL,single,Decommissioned,DT-015,26.97314815208558,75.7097902355345
J100055,L&17672,Secure,three,Installed,DT-016,26.911105238685945,75.88213391256072
